ReconstructionError,Anomaly
2.7308714787933788e-05,False
2.7275958123388773e-05,False
2.7238721198766132e-05,False
2.720150982302658e-05,False
2.71623864431786e-05,False
2.712503558091014e-05,False
2.70880941174515e-05,False
2.7051886230190913e-05,False
2.7016968298361696e-05,False
2.6979393179492145e-05,False
2.6945512430124148e-05,False
2.6903939739239584e-05,False
2.6868561196049315e-05,False
2.6831795110661283e-05,False
2.679326370200917e-05,False
2.6760302713828418e-05,False
2.672342076717322e-05,False
2.6686050873268124e-05,False
2.6649220346108708e-05,False
2.6612225831868643e-05,False
2.657442154255737e-05,False
2.6535942790422387e-05,False
2.650378552753695e-05,False
2.6468993894395785e-05,False
2.643110294414151e-05,False
2.639393862225049e-05,False
2.635559108290635e-05,False
2.6319688598147784e-05,False
2.6282414922839105e-05,False
2.6248883320382933e-05,False
2.6213563018349527e-05,False
2.617655235371849e-05,False
2.6138872002225465e-05,False
2.6102930776796507e-05,False
2.6065303709151895e-05,False
2.602770388121491e-05,False
2.5993827764829046e-05,False
2.5957800394214755e-05,False
2.5922170789830297e-05,False
2.5886751805846936e-05,False
2.5850479227521867e-05,False
2.581284948220617e-05,False
2.5777000075087926e-05,False
2.574411176420827e-05,False
2.5707620217824926e-05,False
2.5670094993760037e-05,False
2.5633471119847778e-05,False
2.5597880794601885e-05,False
2.556199651751825e-05,False
2.552526575627841e-05,False
2.5491717614044133e-05,False
2.545810142930457e-05,False
2.3617362037934036e-05,False
2.3583440743286568e-05,False
2.3547749315977945e-05,False
2.351208512837825e-05,False
2.3480358058759826e-05,False
2.344639018661312e-05,False
2.3409305334983404e-05,False
2.3376033813940713e-05,False
2.334050084260049e-05,False
2.3305493488112785e-05,False
2.3271508869103703e-05,False
2.323634557428446e-05,False
2.3204985000915773e-05,False
2.3170224748995832e-05,False
2.3866727057866364e-05,False
2.3832758666209277e-05,False
2.37961916299074e-05,False
2.3760467181647327e-05,False
2.3725265320008396e-05,False
2.3695223694643385e-05,False
2.2923479555391e-05,False
2.288829523349173e-05,False
2.2855399814215613e-05,False
2.3583201108673545e-05,False
2.3549118040703745e-05,False
2.3514231337765247e-05,False
2.3480691649651335e-05,False
2.344406147728516e-05,False
2.3409429682453388e-05,False
2.337742283294903e-05,False
2.3343332791015987e-05,False
2.2540641384516882e-05,False
2.3283755114316562e-05,False
2.3249242372341117e-05,False
2.321312711277072e-05,False
2.3178177226360443e-05,False
2.3144703275570593e-05,False
2.3109315787091692e-05,False
2.3075246318893185e-05,False
2.3043000684580088e-05,False
2.222986683169994e-05,False
