ReconstructionError,Anomaly
1.14147903504053e-06,False
1.1073535873425648e-06,False
1.0739330388028595e-06,False
1.0420129912793266e-06,False
1.0272463699519319e-06,False
1.0022166061927667e-06,False
9.780623439145776e-07,False
9.699989523328162e-07,False
9.626930838993314e-07,False
9.566171601729676e-07,False
9.517373993403698e-07,False
9.004210216367246e-07,False
8.814924650671215e-07,False
9.138241113602346e-07,False
9.018113226793062e-07,False
8.807783375072597e-07,False
8.614273461982012e-07,False
8.428994143390024e-07,False
8.25967405218691e-07,False
8.354046364789463e-07,False
6.731702862841834e-07,False
8.89646789189334e-07,False
8.740576848790073e-07,False
8.596177998936411e-07,False
8.464422879640208e-07,False
8.345311490901466e-07,False
8.463699936346661e-07,False
8.434962997900364e-07,False
8.340480670733737e-07,False
8.261685305611939e-07,False
4.991604560611447e-07,False
9.24020187622366e-07,False
9.682276008047491e-07,False
9.661590770874437e-07,False
9.57955799301256e-07,False
9.505084943023025e-07,False
9.792448050610525e-07,False
9.79943239855849e-07,False
9.746105653390112e-07,False
1.0107408770533356e-06,False
3.6942989281988705e-07,False
3.597653833760996e-07,False
3.4995580891444706e-07,False
3.4053799050164395e-07,False
3.3142939769276266e-07,False
3.2412365419469564e-07,False
2.5348515383231696e-06,False
2.59411744441256e-06,False
2.5514561233164602e-06,False
2.512222492163093e-06,False
2.4763864996339334e-06,False
2.518326714265868e-06,False
2.4851235344074294e-06,False
2.4561473891974874e-06,False
2.4309462901062127e-06,False
2.410140735855626e-06,False
2.3932564841133306e-06,False
2.3948147814756696e-06,False
1.334734330699896e-06,False
1.3393981932549302e-06,False
1.3772813105042282e-06,False
2.298041698282776e-07,False
1.4440455793408667e-06,False
1.4491003741339372e-06,False
1.45550793376145e-06,False
1.4895619934989274e-06,False
1.501612335942515e-06,False
1.5468722153773518e-06,False
1.5601618760323534e-06,False
1.5682152090163688e-06,False
1.6081332317789828e-06,False
1.622590532687069e-06,False
1.6329205833131111e-06,False
1.6726052556486504e-06,False
1.6887723103079068e-06,False
1.7007394710779518e-06,False
1.7144471439683527e-06,False
1.7293236841230646e-06,False
1.7448616022192742e-06,False
1.7627213082751085e-06,False
1.7866611596173972e-06,False
1.8093960495817866e-06,False
1.8289548061344918e-06,False
1.8726713353757213e-06,False
6.839464173393542e-07,False
6.979113617388286e-07,False
7.125038370337159e-07,False
7.26524347113025e-07,False
7.414246772439303e-07,False
7.56367864337547e-07,False
7.721212052804606e-07,False
7.880519472578345e-07,False
8.037784038262444e-07,False
8.193835980070816e-07,False
8.355960280807028e-07,False
8.53076284500489e-07,False
8.711120852700641e-07,False
8.90796129873319e-07,False
9.110191287507846e-07,False
9.16654680383398e-07,False
9.384412794970394e-07,False
9.605124412324988e-07,False
9.836673012868145e-07,False
1.0082726207541979e-06,False
1.0329010479858404e-06,False
1.0600229207419642e-06,False
1.0870955067547664e-06,False
1.0822082458725072e-06,False
1.1093733032378153e-06,False
1.1388923190416173e-06,False
1.1680088697520005e-06,False
1.1992206067617993e-06,False
1.2310167094306748e-06,False
1.2108945960506077e-06,False
1.2429904199140204e-06,False
1.19813332943373e-06,False
1.2290387964026584e-06,False
1.2600885767129596e-06,False
1.2930832200480014e-06,False
1.3268087510602683e-06,False
1.3611854595462398e-06,False
1.3966448701109548e-06,False
1.4333740433844849e-06,False
1.4711611764731697e-06,False
1.509947520522854e-06,False
1.5491594510449752e-06,False
1.5897327635037923e-06,False
1.6336362777583953e-06,False
1.680658768800499e-06,False
1.728307154647264e-06,False
1.7783535860443286e-06,False
1.82800949976542e-06,False
1.8809063998130524e-06,False
1.9334522422272958e-06,False
1.9879360552522406e-06,False
2.0445162470390497e-06,False
2.0187408915562733e-06,False
2.0080413471295302e-06,False
1.9980480100451177e-06,False
2.01577928020576e-06,False
2.006170766116931e-06,False
1.9955479505122435e-06,False
1.9851076090688937e-06,False
1.9750841261355928e-06,False
1.9652850652224605e-06,False
1.9546282920994125e-06,False
1.9443419096342177e-06,False
1.9347953562913456e-06,False
1.924299443611058e-06,False
1.9146819049077365e-06,False
1.910314485958121e-06,False
1.9007136637687404e-06,False
1.8909664850152005e-06,False
1.8808285069888264e-06,False
1.8709756614614416e-06,False
1.8721388190993952e-06,False
1.8624078203691178e-06,False
1.857536200590254e-06,False
1.8482237209301705e-06,False
1.838447418531962e-06,False
1.8290284674077574e-06,False
1.8191478744761527e-06,False
1.8257917318122476e-06,False
1.8162616753851445e-06,False
1.8071663131582026e-06,False
1.797248049131955e-06,False
1.7874192995867574e-06,False
1.7783854105666178e-06,False
1.7689814318120272e-06,False
1.7599601487759613e-06,False
1.7506887619112739e-06,False
1.7414537846478708e-06,False
1.7322020349798823e-06,False
1.7225345599077094e-06,False
1.7138662957369841e-06,False
1.705208316323959e-06,False
1.6956815441816842e-06,False
1.6864798368128969e-06,False
1.677813015668244e-06,False
1.6687093154582129e-06,False
1.6598072602025716e-06,False
1.6509006673811576e-06,False
1.6419104139921465e-06,False
1.6335662120089317e-06,False
1.6244892079401805e-06,False
1.6160566159795622e-06,False
1.8791896573150317e-06,False
1.911683129087722e-06,False
1.8897126479928458e-06,False
1.4262564869950946e-06,False
1.8645592086627916e-06,False
1.897304337220309e-06,False
1.930331606856711e-06,False
1.917777022814414e-06,False
1.3728826672114712e-06,False
1.8926104154520018e-06,False
1.925688781861473e-06,False
1.9038733963895659e-06,False
1.332397147885884e-06,False
1.8888001838658802e-06,False
1.9213987979146043e-06,False
1.9554344007887264e-06,False
1.989037672244795e-06,False
2.0232195311641933e-06,False
2.057350376051799e-06,False
2.092048599683189e-06,False
2.127107697017449e-06,False
2.162388556612612e-06,False
2.19768731897314e-06,False
2.22385882027755e-06,False
2.260314209060673e-06,False
2.296187339680632e-06,False
2.3338610969718146e-06,False
2.3705885277464078e-06,False
2.4077993875668e-06,False
2.445474060404985e-06,False
1.9049562239588117e-06,False
1.8955272084648664e-06,False
1.8861375259011758e-06,False
1.8777694280003573e-06,False
1.8684537132222455e-06,False
1.8598307486093103e-06,False
1.8512424081948098e-06,False
1.8583975723734038e-06,False
1.8493542434835834e-06,False
1.8405094595156602e-06,False
1.831863542610932e-06,False
1.8543737763453287e-06,False
1.8460447788546776e-06,False
1.8802570596686192e-06,False
1.8709149622548271e-06,False
1.86256752565997e-06,False
1.8534634483223503e-06,False
1.844882710214418e-06,False
1.852127806620024e-06,False
1.8486705630620746e-06,False
1.8398214631216676e-06,False
1.8314826829414342e-06,False
2.0792831787071526e-06,False
2.0705408529567757e-06,False
2.061135812863528e-06,False
2.0523069886936516e-06,False
2.0428014937766428e-06,False
2.033690954616422e-06,False
2.0359934136578043e-06,False
2.0326041049076673e-06,False
2.023234465834548e-06,False
2.04780876737335e-06,False
7.902704144716969e-07,False
2.085859477807224e-06,False
2.1160742911898014e-06,False
1.135398725839348e-06,False
1.1293909750982202e-06,False
1.1474581996007296e-06,False
1.1456092260492974e-06,False
1.1391066538471171e-06,False
1.1658511587598707e-06,False
1.1597870889886785e-06,False
1.1536764917899578e-06,False
1.1677013652289687e-06,False
6.493178883871611e-07,False
8.131288497367128e-07,False
8.143654528763252e-07,False
8.317405013988009e-07,False
8.541851445295655e-07,False
8.452757510139663e-07,False
8.626503149636971e-07,False
8.857938928786823e-07,False
9.089460527916136e-07,False
9.327183856861412e-07,False
9.340977082482334e-07,False
9.58342660475374e-07,False
9.822485937105104e-07,False
1.0067886049320312e-06,False
1.0318095030651888e-06,False
1.05680227691728e-06,False
1.0465115008406714e-06,False
1.0716576120948861e-06,False
1.0972853050922023e-06,False
1.1232067782186591e-06,False
1.1496294351850008e-06,False
1.1760004288639523e-06,False
1.202861822676996e-06,False
1.2233996798466238e-06,False
1.2446665416313324e-06,False
1.2724937674234807e-06,False
1.2998621774977531e-06,False
1.2955216477057495e-06,False
6.754994977775971e-07,False
1.2867087863603774e-06,False
1.3141953762991786e-06,False
1.3034668738480527e-06,False
1.3312794673270771e-06,False
1.3599666086856631e-06,False
1.388975725426032e-06,False
1.4176968753730867e-06,False
6.326396711450899e-07,False
1.3687174991374395e-06,False
1.3975174544351777e-06,False
1.426681216766315e-06,False
1.4559189143005678e-06,False
1.4582637754997605e-06,False
1.4812454724011488e-06,False
1.511232112174662e-06,False
1.541340850034453e-06,False
1.5364602851158574e-06,False
5.824129815050347e-07,False
1.5278460430731034e-06,False
1.5580329129164893e-06,False
1.5887369163647567e-06,False
1.570617659057257e-06,False
1.6009688579495017e-06,False
1.6316507662468325e-06,False
1.7035148686429175e-06,False
1.69672661737641e-06,False
1.7187766596297795e-06,False
8.736288871597304e-07,False
9.023628765253666e-07,False
1.7923663110905235e-06,False
1.784966765704842e-06,False
1.7776064431165444e-06,False
1.7705401364602512e-06,False
1.7833183865160425e-06,False
1.1385928458925821e-06,False
1.1733030228500029e-06,False
1.8575859796204943e-06,False
1.8503762243100893e-06,False
1.8435209279608043e-06,False
1.8362544663817166e-06,False
1.8285203577026517e-06,False
1.8215189608764767e-06,False
1.824324655671954e-06,False
1.817054753122224e-06,False
1.8098240733701138e-06,False
1.8383703991747e-06,False
1.8360349864404115e-06,False
1.8291813093919108e-06,False
1.8220447283253188e-06,False
1.8401636135937796e-06,False
1.6393570911873125e-06,False
1.8765507550405281e-06,False
1.9054640323573026e-06,False
1.9033269877851955e-06,False
1.8959525183476713e-06,False
1.8889362536525717e-06,False
1.882025832380061e-06,False
1.8749585394332822e-06,False
1.8836658485529199e-06,False
1.8812500074577731e-06,False
1.8744322010571061e-06,False
1.8975099566840983e-06,False
2.1056720223332994e-06,False
2.136436109524746e-06,False
1.808422068873296e-06,False
2.1756279678301697e-06,False
2.1677695183257104e-06,False
2.1934605501294797e-06,False
2.191167870995233e-06,False
2.1834624827777524e-06,False
2.1755860226332756e-06,False
2.194897589899142e-06,False
1.3156023680372528e-06,False
2.235457003161555e-06,False
2.2664906656976567e-06,False
1.168650445851418e-06,False
2.301210531325781e-06,False
2.293419283867818e-06,False
2.2856795074998687e-06,False
9.801858465285465e-07,False
9.433315160406291e-07,False
2.3782679137239003e-06,False
2.3930575772850043e-06,False
2.3905081347058837e-06,False
2.3852906245861795e-06,False
2.3800036877655463e-06,False
2.37460711794061e-06,False
2.370167394599109e-06,False
2.3702977204167116e-06,False
2.365480343996672e-06,False
2.361644955746204e-06,False
2.358227299154873e-06,False
2.3545894249535186e-06,False
2.365955351025136e-06,False
2.3616240004853607e-06,False
2.3572514759480557e-06,False
2.3528076944808893e-06,False
2.3495058538788976e-06,False
2.3464051017785138e-06,False
2.344082587537208e-06,False
2.341752300698678e-06,False
2.340582199324441e-06,False
2.3378189791733586e-06,False
2.341114284841889e-06,False
8.510867855842958e-07,False
2.3544422424101405e-06,False
2.3485956665872894e-06,False
2.3442372834821076e-06,False
2.3402268379143995e-06,False
2.3360611174668857e-06,False
2.338165775058702e-06,False
2.3359397329528774e-06,False
2.3321866269609134e-06,False
2.328785350227065e-06,False
2.3253057415605947e-06,False
2.3278969004367064e-06,False
2.325885800537812e-06,False
2.3230653271879765e-06,False
2.319239631056037e-06,False
2.3171843749451082e-06,False
2.3141430328552553e-06,False
2.3140096731525795e-06,False
2.312504537143465e-06,False
2.309989957412476e-06,False
2.3086669571738695e-06,False
2.309757013320272e-06,False
2.3073364978067917e-06,False
2.3055625865872793e-06,False
2.303705046305233e-06,False
2.302327879495344e-06,False
2.3010389627043394e-06,False
2.3007324679367634e-06,False
2.2979413946010983e-06,False
2.2970400250428527e-06,False
2.295785802852046e-06,False
2.295008436001828e-06,False
2.2936657983883803e-06,False
2.2934034857649353e-06,False
2.2921234177001047e-06,False
2.291994843533791e-06,False
2.288342273903404e-06,False
2.287081257123567e-06,False
2.287349662532139e-06,False
2.285362526538152e-06,False
2.282890108081878e-06,False
2.282432067162602e-06,False
2.280753439020675e-06,False
2.2795964918045172e-06,False
2.2794804922185005e-06,False
2.2760187031234335e-06,False
2.2760215423216844e-06,False
2.275270519451833e-06,False
2.274931011121139e-06,False
2.2749683677894457e-06,False
2.2751112055907584e-06,False
2.275393622058866e-06,False
2.2771488224160635e-06,False
2.2748974705942647e-06,False
2.276176100318446e-06,False
2.2781415643881734e-06,False
4.496433847897991e-06,False
4.54706773895271e-06,False
3.7766729456415663e-06,False
3.718762032046907e-06,False
3.816916075426644e-06,False
6.10126454820907e-07,False
4.027505461424491e-06,False
3.962694721783239e-06,False
3.899765411621446e-06,False
3.83905327778175e-06,False
3.909167105991805e-06,False
1.2328366458860131e-06,False
1.2237875098784845e-06,False
1.214325532624914e-06,False
1.206052248369682e-06,False
1.1972267765328444e-06,False
1.1890726165854884e-06,False
1.1812383165325562e-06,False
1.1735567902294212e-06,False
1.1611110475508693e-06,False
1.1538278998968223e-06,False
1.1467270945772729e-06,False
1.1399605544745046e-06,False
1.112952485659048e-06,False
1.1008975747988554e-06,False
1.0946427574077058e-06,False
1.0882159829570085e-06,False
1.0615032563314561e-06,False
1.0552037998731895e-06,False
1.0492369477325852e-06,False
1.0433801966312873e-06,False
1.0380054511790192e-06,False
6.701033505676132e-07,False
9.439082773395215e-07,False
9.369683341393094e-07,False
9.305108160697164e-07,False
9.067962101669759e-07,False
9.001925622440288e-07,False
8.509339257778264e-07,False
8.435396895872968e-07,False
8.363762946581132e-07,False
8.149711303229378e-07,False
8.080563827571401e-07,False
