ReconstructionError,Anomaly
7.810013662892527e-06,False
7.728393967555762e-06,False
7.649566731191894e-06,False
7.5719182068761316e-06,False
7.497567937358512e-06,False
7.491184765941471e-06,False
7.419024066248043e-06,False
7.348170810251275e-06,False
7.280727147095752e-06,False
7.21481498949905e-06,False
7.151226012721812e-06,False
7.089790237714124e-06,False
7.030111760752393e-06,False
6.973186384827539e-06,False
6.918452678950548e-06,False
6.865853322879484e-06,False
6.8151482828941566e-06,False
6.7670380215981335e-06,False
6.721029302022444e-06,False
6.683177206453039e-06,False
6.641514433162651e-06,False
6.600929259519457e-06,False
6.5633124710412195e-06,False
6.528228035535402e-06,False
6.4945790298414574e-06,False
6.463890201168283e-06,False
4.665207656061043e-06,False
4.647984150721071e-06,False
4.631137093690936e-06,False
4.614606897522816e-06,False
4.597427195423877e-06,False
4.580592425917442e-06,False
4.602271032819847e-06,False
4.585815095794812e-06,False
4.569017772075275e-06,False
4.551924364237818e-06,False
4.5366106171180524e-06,False
4.518790161826729e-06,False
4.50465971157753e-06,False
4.488129446403167e-06,False
4.474454862230109e-06,False
4.457990090413411e-06,False
4.44135219161847e-06,False
4.425259614269451e-06,False
4.408185745169536e-06,False
4.3921633433353325e-06,False
4.375875596645973e-06,False
4.359324593395669e-06,False
4.345014984544468e-06,False
4.3294243513187626e-06,False
4.31275689739984e-06,False
4.296642857455598e-06,False
4.281542045491202e-06,False
4.264520268110259e-06,False
4.2486976264189655e-06,False
4.232817015076847e-06,False
4.216002099840067e-06,False
4.2004851818337474e-06,False
4.184513113258547e-06,False
4.168774766107651e-06,False
4.152886251142897e-06,False
4.137403203728764e-06,False
4.121400043084572e-06,False
4.105699685117327e-06,False
4.0903315735386966e-06,False
4.074324236805806e-06,False
4.0586398102257645e-06,False
4.043099645312739e-06,False
4.027578879275768e-06,False
4.0123773949423e-06,False
3.99656027999603e-06,False
3.980779861615646e-06,False
3.966527537594018e-06,False
3.950720828660105e-06,False
3.935419314394162e-06,False
3.91987410535263e-06,False
3.90519677309452e-06,False
3.889445646754663e-06,False
3.8767411701152885e-06,False
3.861244324354962e-06,False
3.845967079117947e-06,False
3.830817683576752e-06,False
3.815247954179592e-06,False
3.8003540456907813e-06,False
3.7856765528058795e-06,False
3.770580196848011e-06,False
3.755609277345115e-06,False
3.7410378036782577e-06,False
3.726049378245529e-06,False
3.7116355864064342e-06,False
3.6968095149384197e-06,False
3.6823735450330383e-06,False
3.667618837721654e-06,False
3.6525376761020845e-06,False
3.6383870562623695e-06,False
3.623475266231368e-06,False
3.6088580346360505e-06,False
3.5949014306466266e-06,False
3.57991862903013e-06,False
3.5646214384688757e-06,False
3.550760829486867e-06,False
3.5367621716919686e-06,False
3.5225476821967235e-06,False
3.5083472184343173e-06,False
3.493776761303479e-06,False
3.479556646670469e-06,False
3.4652160363590615e-06,False
3.451258219628614e-06,False
3.4371556994322115e-06,False
3.4234331884254814e-06,False
3.4092355384028127e-06,False
3.394567011213885e-06,False
3.381128760556655e-06,False
3.3668612906173514e-06,False
3.3528820714070514e-06,False
3.339797504683896e-06,False
3.3260659061006817e-06,False
3.3117810868846293e-06,False
3.297783027979449e-06,False
3.284406839275463e-06,False
3.2701639473688204e-06,False
3.2566111071394378e-06,False
3.2430722883680297e-06,False
3.2295890139705314e-06,False
3.2175568730075776e-06,False
3.204562767953434e-06,False
3.1909380505128352e-06,False
3.1771723260785225e-06,False
3.164346094412333e-06,False
3.1524736562962727e-06,False
3.139470428556639e-06,False
3.126172528169661e-06,False
3.112936063611754e-06,False
3.0992938005627463e-06,False
3.0866054480024993e-06,False
3.073123361287171e-06,False
3.0598544107499673e-06,False
3.0469456642881395e-06,False
3.033337755221555e-06,False
3.0205884785128135e-06,False
3.007667546255273e-06,False
2.994987480311983e-06,False
2.981294506058877e-06,False
2.96914913326211e-06,False
2.956025324178238e-06,False
2.943278364981161e-06,False
2.934326176743772e-06,False
2.921673997846218e-06,False
2.908022533401117e-06,False
2.895757575154664e-06,False
2.883072939576917e-06,False
2.870650539975319e-06,False
2.8582630719137522e-06,False
2.845424169505808e-06,False
2.832534749184008e-06,False
2.8205641084906163e-06,False
2.808230283734233e-06,False
2.795709795718761e-06,False
2.783620737783758e-06,False
2.7714390733115582e-06,False
2.7590258055122848e-06,False
2.746822622907754e-06,False
2.7344400652948462e-06,False
2.722352998548501e-06,False
2.7099109041117303e-06,False
2.6978517911281465e-06,False
2.685957770610754e-06,False
2.673839289282633e-06,False
2.6620152951679897e-06,False
2.649967198862163e-06,False
2.638086916612342e-06,False
2.6259841705517593e-06,False
2.614426536674321e-06,False
2.6025198414109376e-06,False
2.59082052065675e-06,False
2.5790331269657483e-06,False
2.5671102046338603e-06,False
2.5556891585983883e-06,False
2.5438738433601067e-06,False
2.5321448990566616e-06,False
2.5205381011245828e-06,False
2.5093774013365e-06,False
2.4977562715706905e-06,False
2.4860860666230756e-06,False
2.4749434508023474e-06,False
2.4633449035320783e-06,False
2.4519536186882605e-06,False
2.44037290736024e-06,False
2.42982427202973e-06,False
2.417970412774536e-06,False
2.4071204764786333e-06,False
2.3952574242486587e-06,False
2.3848446558056633e-06,False
2.3737311011751316e-06,False
2.3622611620846548e-06,False
2.351694301438834e-06,False
2.340018294309106e-06,False
2.329325842296079e-06,False
2.3183894358854827e-06,False
2.3074650770595424e-06,False
2.2968756686772103e-06,False
2.2858536881826814e-06,False
2.2748469304330015e-06,False
2.2641724700841745e-06,False
2.253617347197798e-06,False
2.242552589591217e-06,False
2.2319004794120454e-06,False
2.221470179306024e-06,False
2.2110379743376383e-06,False
2.2003231121330535e-06,False
2.1897109237327664e-06,False
2.1796867295848865e-06,False
2.1688628439463705e-06,False
2.158724107277248e-06,False
2.150911686375413e-06,False
2.141016535265232e-06,False
2.130709054185615e-06,False
2.1206165358901406e-06,False
2.1116408275620786e-06,False
2.1015190062799468e-06,False
2.0909098802297687e-06,False
2.0812034381269584e-06,False
2.0708444739019186e-06,False
2.0608552075781253e-06,False
2.051002437588752e-06,False
2.0409180856420566e-06,False
2.030787105946281e-06,False
2.0212043952675186e-06,False
2.0114893103057896e-06,False
2.0018852488021687e-06,False
1.9918966895136837e-06,False
1.9816046349714175e-06,False
1.9723679820988657e-06,False
1.9619818120944676e-06,False
1.952641285141249e-06,False
1.9433343117436e-06,False
1.9332297475115046e-06,False
1.9236620274352355e-06,False
1.9143769667995537e-06,False
1.9047967013847844e-06,False
1.895744082895529e-06,False
1.8863167884384232e-06,False
1.8767596065053784e-06,False
1.867324947299503e-06,False
1.8580857222316636e-06,False
1.8488815411380071e-06,False
1.8395528768445686e-06,False
1.830419479797461e-06,False
1.8215610568719953e-06,False
1.8116221225571822e-06,False
1.8029094762274593e-06,False
1.7937610488982228e-06,False
1.7848043799056978e-06,False
1.7758827548879443e-06,False
1.766996173844672e-06,False
1.7579818832186653e-06,False
1.7493281436812864e-06,False
1.740476133213129e-06,False
1.73126573336108e-06,False
1.7224753754480804e-06,False
1.7140320583201768e-06,False
1.7055412641541856e-06,False
1.697380872572132e-06,False
1.6960080647454097e-06,False
1.6947708789981532e-06,False
1.6938578143401886e-06,False
1.692635287250217e-06,False
1.6914810061596252e-06,False
1.6902598012867832e-06,False
1.689187561041868e-06,False
1.688357733236455e-06,False
1.686989985235131e-06,False
1.6894154854976855e-06,False
1.6882623998235372e-06,False
1.6872712423722197e-06,False
1.6863611856928863e-06,False
1.6848331199006547e-06,False
1.683763205273629e-06,False
1.6829225313875505e-06,False
1.6820824117495447e-06,False
1.6805822035984959e-06,False
1.6792737796786807e-06,False
1.6787426750391853e-06,False
1.6776761807054794e-06,False
1.6767706384180893e-06,False
1.6752487914742672e-06,False
1.6741161277350365e-06,False
1.6732002335751263e-06,False
1.671748821145252e-06,False
1.670766120021783e-06,False
1.6698754818429996e-06,False
1.6688821675903521e-06,False
1.6698284593000327e-06,False
1.6679233627774759e-06,False
1.6672498968913853e-06,False
1.6662692627891498e-06,False
1.6681277052841243e-06,False
1.6673854791543953e-06,False
1.666244515586187e-06,False
1.6647968597354358e-06,False
1.663760140923699e-06,False
1.6628373710791816e-06,False
1.6618584361045405e-06,False
1.6605842228086289e-06,False
1.663433500859443e-06,False
1.662919988437861e-06,False
1.6612463071187856e-06,False
1.6603468959006709e-06,False
1.6596638960562763e-06,False
1.6582313015767337e-06,False
1.6571061852594511e-06,False
1.656129355437246e-06,False
1.6551420275466966e-06,False
1.6538599333086158e-06,False
1.652737163437153e-06,False
1.651535698025989e-06,False
1.6505617844929111e-06,False
1.6494986683677134e-06,False
1.64837824494152e-06,False
1.6473374378886194e-06,False
1.6462077349561421e-06,False
1.6450100328786466e-06,False
1.6436551437768944e-06,False
1.642990779824033e-06,False
1.6418049339985774e-06,False
1.6405308674996961e-06,False
1.6391788119393439e-06,False
1.6385162869570804e-06,False
1.6372442677989295e-06,False
1.6359634391437264e-06,False
1.6350762334991162e-06,False
1.6341109812681296e-06,False
1.632841738126198e-06,False
1.6318776523640031e-06,False
1.6308448591855145e-06,False
1.6295685502323378e-06,False
1.6288320909000467e-06,False
1.627644417917244e-06,False
1.6264486487268187e-06,False
1.6253491322524868e-06,False
1.6243804186512622e-06,False
1.6234124486400997e-06,False
1.6223839556928465e-06,False
1.6209745382214277e-06,False
1.6197913343130986e-06,False
1.6189817164413133e-06,False
1.617869487080773e-06,False
1.6167659228601952e-06,False
1.6157327503044572e-06,False
1.614544904669637e-06,False
1.6135207538841305e-06,False
1.6124894731548074e-06,False
1.6114588231121137e-06,False
1.6103587417657602e-06,False
1.6093994150877137e-06,False
1.6081457571290302e-06,False
1.6071949992469857e-06,False
1.606322063015328e-06,False
1.6049298326551176e-06,False
1.6036718922443515e-06,False
1.6030955553071782e-06,False
1.6016213119622287e-06,False
1.600449492725074e-06,False
1.5997272470144952e-06,False
1.598781023893702e-06,False
1.5974571436578012e-06,False
1.596364668935522e-06,False
1.5951959352437947e-06,False
1.5943227279917037e-06,False
1.5930845386809699e-06,False
1.5922125314907705e-06,False
1.5912703473452507e-06,False
1.5898041098353684e-06,False
1.5887866074385392e-06,False
1.5878462166617036e-06,False
1.5869063654540411e-06,False
1.5860380820102667e-06,False
1.5845754971329363e-06,False
1.5835611479360559e-06,False
1.5827710817382944e-06,False
1.5817629430251749e-06,False
1.5806029495698132e-06,False
1.5792201250622723e-06,False
1.5784322623068565e-06,False
1.5771981734775076e-06,False
1.5760407910978773e-06,False
1.5754065153419296e-06,False
1.5738752842904605e-06,False
1.5730144852301945e-06,False
1.5719354166459447e-06,False
1.570928492514622e-06,False
1.569922199069929e-06,False
1.5688448500313309e-06,False
1.5678397703907891e-06,False
1.5667597765531127e-06,False
1.565756005621739e-06,False
1.5642355236618715e-06,False
1.5633084600625677e-06,False
