ReconstructionError,Anomaly
4.7980002940768985e-05,0
7.204805076388233e-05,0
8.134030234404611e-05,0
7.599703159078303e-05,0
7.006613442370072e-05,0
6.471091103776503e-05,0
6.0256429561411093e-05,0
5.6755703894032384e-05,0
5.4085440124281016e-05,0
5.202885783273679e-05,0
5.204807314177257e-05,0
5.206735575857064e-05,0
5.208660218000262e-05,0
5.210644364863527e-05,0
5.212649159360545e-05,0
5.2146784145330304e-05,0
5.216703861749255e-05,0
5.218774066941859e-05,0
5.2208892893803524e-05,0
5.222885853852258e-05,0
5.225017181113169e-05,0
5.2271897884230753e-05,0
5.229319409429605e-05,0
5.2314806428561164e-05,0
5.233634675234414e-05,0
5.2358332870685594e-05,0
5.238076262772581e-05,0
5.2403264050007004e-05,0
5.2425861483521286e-05,0
5.244891930151325e-05,0
5.247152939130305e-05,0
5.24950740404447e-05,0
5.251825791892624e-05,0
5.2541910938810526e-05,0
5.2565956837421594e-05,0
5.25901872459311e-05,0
5.261455694405105e-05,0
5.263853692018102e-05,0
5.266256578191811e-05,0
5.268814933921467e-05,0
5.2712629581103945e-05,0
5.273816350230179e-05,0
5.276349791698333e-05,0
5.278889590462927e-05,0
5.2814963422491734e-05,0
5.2841013549620774e-05,0
5.2866843727855585e-05,0
5.289360971567827e-05,0
5.2919834338088614e-05,0
5.294705201193159e-05,0
5.297385876074057e-05,0
5.300132933617749e-05,0
5.302860866203258e-05,0
5.305623664214384e-05,0
5.3084972991778275e-05,0
5.311260991948833e-05,0
5.3140928867912304e-05,0
5.3169674854051126e-05,0
5.319830096896276e-05,0
5.322731624396955e-05,0
5.325620288236419e-05,0
5.328527138453416e-05,0
5.3314955687383646e-05,0
5.334448894269168e-05,0
5.337469565816855e-05,0
5.340504769254037e-05,0
5.3435949536794007e-05,0
5.346628046936194e-05,0
5.349701036241427e-05,0
5.3528237103905364e-05,0
5.3559571174279484e-05,0
5.3591128585331695e-05,0
5.3622897158248885e-05,0
5.36546689283657e-05,0
5.3686704631792016e-05,0
5.371890190161739e-05,0
5.3751584034725706e-05,0
5.378479313386284e-05,0
5.381730848797489e-05,0
5.385038335969846e-05,0
5.388418579095746e-05,0
5.391794100807448e-05,0
5.3951923869507886e-05,0
5.3986103125923526e-05,0
5.402066368735012e-05,0
5.405462846211126e-05,0
5.408937141437308e-05,0
5.41248431897889e-05,0
5.41594594782389e-05,0
5.4194904135550665e-05,0
5.4231228575327824e-05,0
5.426679752552803e-05,0
5.4303031743355216e-05,0
5.4339035754995084e-05,0
5.437583675368488e-05,0
5.4412536273092204e-05,0
5.444903854145744e-05,0
5.44865621317195e-05,0
5.452454997973248e-05,0
5.456197357841113e-05,0
5.460016287493316e-05,0
5.4638454521463484e-05,0
5.467617689105113e-05,0
5.4714940237539605e-05,0
5.475295412309635e-05,0
5.4793137353212146e-05,0
5.4831693576507707e-05,0
5.487084112241198e-05,0
5.491117962712835e-05,0
5.495030849922625e-05,0
