ReconstructionError,Anomaly
0.0006190506477105932,0
0.00018238713938623747,0
0.00010253381969101709,0
7.380939415484537e-05,0
6.479988911262481e-05,0
6.40388952551454e-05,0
6.656397009248061e-05,0
7.158378738062067e-05,0
7.893915488052369e-05,0
8.558187752363047e-05,0
8.514330644730669e-05,0
8.475019534393076e-05,0
8.437311438453434e-05,0
8.397238978672693e-05,0
8.35171039783362e-05,0
8.343317100254318e-05,0
8.296038341732882e-05,0
8.253804893570685e-05,0
8.216289246797665e-05,0
8.180350694724109e-05,0
8.141810892873291e-05,0
8.097621873825767e-05,0
8.091647800662043e-05,0
8.045809218923642e-05,0
8.005147970931257e-05,0
7.969355603380075e-05,0
7.935059403393285e-05,0
7.89811365980662e-05,0
7.85510926658523e-05,0
7.851628089694847e-05,0
7.806955375370054e-05,0
7.768015286278671e-05,0
7.73379713646731e-05,0
7.701322240026523e-05,0
7.665768421383428e-05,0
7.624134875577383e-05,0
7.622890130658541e-05,0
7.57959280009696e-05,0
7.542124747315642e-05,0
7.509614085967917e-05,0
7.478664459907282e-05,0
7.444575347732677e-05,0
7.404180864598987e-05,0
7.163961170411525e-05,0
6.992457032714192e-05,0
7.426982577703364e-05,0
8.067210005624044e-05,0
8.22128246455704e-05,0
7.886601617594891e-05,0
7.911163843611766e-05,0
0.0001047558206702919,0
0.00024654405843497926,0
0.0003469917490532272,0
0.0002366409158730007,0
0.0002097284681083756,0
0.00021204011004235637,0
0.0002228037975078157,0
0.00023194260560289727,0
0.00023214263784056825,0
0.00022527922880948858,0
0.0002140334932764797,0
0.0002019599013046405,0
0.00019772523397243403,0
0.00019880951710973398,0
0.0002110633016951902,0
0.00024534120222339774,0
0.00012610068481277035,0
0.00011821767078730458,0
0.0001140502380465213,0
0.00010756593867205426,0
0.00010020735040241686,0
0.00010640410092771957,0
0.0002185841208985706,0
0.00020658700618875648,0
0.00023422259432754846,0
0.00010973728220110409,0
0.00010426521884831139,0
0.00010374408343899398,0
0.00010047172214003831,0
9.50322593124095e-05,0
8.938497870093327e-05,0
8.596038330068534e-05,0
8.841923374575643e-05,0
0.00029904658997321543,0
8.922019465548214e-05,0
8.992117413382809e-05,0
9.266893050480731e-05,0
9.508928474335274e-05,0
9.640048333599368e-05,0
9.552638243047281e-05,0
9.301795791429526e-05,0
9.926343643250856e-05,0
0.00022272535736036413,0
0.00018656741029721927,0
0.00017836489577782155,0
0.0001941778501162096,0
0.00024246877706180902,0
0.00011594701638914505,0
9.649350953467332e-05,0
8.84974967350836e-05,0
8.111651098387492e-05,0
7.47314431633454e-05,0
7.133686169397325e-05,0
6.852992217015707e-05,0
6.679891819664898e-05,0
6.692173379098222e-05,0
6.816155977211224e-05,0
6.773468452348944e-05,0
6.733958230768547e-05,0
6.689246153639181e-05,0
6.641889047387702e-05,0
6.60416703941277e-05,0
6.512317408228765e-05,0
6.429246184232697e-05,0
6.357828641635558e-05,0
6.298854994398429e-05,0
6.248247211951699e-05,0
6.201701385005141e-05,0
6.166830618167323e-05,0
6.137565176572372e-05,0
6.11490345070231e-05,0
6.082407017461657e-05,0
6.050666367679096e-05,0
6.0189264044389654e-05,0
5.986330095318789e-05,0
5.95901657948966e-05,0
5.9262405528547553e-05,0
5.894324599665822e-05,0
5.8630342819500346e-05,0
5.832418338699426e-05,0
5.801794166710744e-05,0
5.770071530133731e-05,0
5.7447341902796704e-05,0
5.712886718812968e-05,0
5.6820752250992795e-05,0
5.65189890000455e-05,0
5.6224349487014085e-05,0
5.5927890921513127e-05,0
5.5620383081309566e-05,0
5.5386798047065505e-05,0
5.5077313858884684e-05,0
5.477955022033776e-05,0
5.4488717085422275e-05,0
5.4204664572390945e-05,0
5.391933380430077e-05,0
5.362047837460631e-05,0
5.340484269603273e-05,0
5.3104253774681e-05,0
5.2816250463833976e-05,0
5.253706368501186e-05,0
5.2264316505260016e-05,0
5.1987640519704694e-05,0
5.1697691312491535e-05,0
5.150090883959192e-05,0
5.1209083127770025e-05,0
5.0931572428716255e-05,0
5.066276182402725e-05,0
5.039983505765452e-05,0
5.01330019759484e-05,0
4.9852137432505016e-05,0
4.967296744059043e-05,0
4.9390648775252745e-05,0
4.912140232996132e-05,0
4.886338568295941e-05,0
4.861122132585084e-05,0
4.835383625707542e-05,0
4.808060019267988e-05,0
4.7919282195871305e-05,0
4.764538142041041e-05,0
4.7385866103028795e-05,0
4.713676951012682e-05,0
4.689447392085768e-05,0
4.6646597661680116e-05,0
4.6381094671977453e-05,0
4.623858535182901e-05,0
4.5971676331829345e-05,0
4.57214221840354e-05,0
4.5482933625549635e-05,0
4.524996968964774e-05,0
4.501029395352049e-05,0
4.4753596448824e-05,0
4.46272390369312e-05,0
4.436923465811276e-05,0
4.4127122522056004e-05,0
4.38990009963325e-05,0
4.3675675843624105e-05,0
4.3444817883169685e-05,0
4.319496559298623e-05,0
4.308613463439816e-05,0
4.28357930754844e-05,0
4.260234800746204e-05,0
4.238281330573229e-05,0
4.2169410852747266e-05,0
4.1946726705731576e-05,0
4.170415947788902e-05,0
4.16127953760969e-05,0
4.136996859939796e-05,0
4.114450836217835e-05,0
4.093446373595413e-05,0
4.0730352998407595e-05,0
4.0516223655836916e-05,0
4.028004847859161e-05,0
4.020580727783999e-05,0
3.996987208774234e-05,0
3.9753378979491185e-05,0
3.9551529116716974e-05,0
3.935536833414506e-05,0
3.9149793443974986e-05,0
3.8921615515228564e-05,0
3.886250102230902e-05,0
3.8633531289572464e-05,0
3.842428481518343e-05,0
3.8232132631154454e-05,0
3.8045040963344085e-05,0
3.787765221297249e-05,0
3.76665670289534e-05,0
3.7559884988093846e-05,0
3.725275523482992e-05,0
3.701280087602372e-05,0
3.6842575109246295e-05,0
3.662402676865543e-05,0
3.617976703932218e-05,0
3.542381661190268e-05,0
3.6526968545106505e-05,0
3.530843264651493e-05,0
3.708983334896905e-05,0
4.00081317464214e-05,0
4.15972818554507e-05,0
4.203809037684278e-05,0
4.4317725782141366e-05,0
5.767878264998286e-05,0
0.00011380312420499492,0
0.0002920813718224846,0
0.0002206186949391866,0
0.00019324430918526335,0
0.00019011004626561044,0
0.0001937250831659849,0
0.00019629846313962203,0
0.00019469984187385302,0
