Index,Anomaly_Score,Model_Prediction_Internal,Predicted_Anomaly_At_Chosen_Threshold,GT_Anomaly
0,-0.27042692576341126,0,0,0
1,-0.22320943426193546,0,0,0
2,-0.289290315948955,0,0,0
3,-0.2602947909739154,0,0,0
4,-0.2597938757573321,0,0,0
5,-0.1844426490614236,0,0,0
6,-0.21226282251337703,0,0,0
7,-0.210369609292763,0,0,0
8,-0.18441627294307894,0,0,0
9,-0.2711005716184704,0,0,0
10,-0.2749297025806685,0,0,0
11,-0.2617261981155336,0,0,0
12,-0.041572710891644715,0,0,0
13,-0.2564683278412026,0,0,0
14,-0.19482666308049212,0,0,0
15,-0.27828901320314636,0,0,0
16,-0.29284174815938285,0,0,0
17,-0.18267563292222244,0,0,0
18,-0.09486467585005465,0,0,0
19,-0.0069890656490330105,0,0,1
20,-0.1806027914743179,0,0,0
21,0.15649037246784214,1,1,1
22,-0.2088009563896569,0,0,0
23,-0.2908776860156456,0,0,0
24,-0.29696462010700886,0,0,0
25,-0.29642784880522927,0,0,0
26,-0.20671144348739023,0,0,0
27,-0.03914849155305489,0,0,0
28,-0.2907901431507804,0,0,0
29,-0.25932150793814296,0,0,0
30,-0.189661606291886,0,0,0
31,-0.2748700030050642,0,0,0
32,-0.27048651388648126,0,0,0
33,-0.28919121705447376,0,0,0
34,-0.2844333892053851,0,0,0
35,-0.13434640094973027,0,0,0
36,-0.1930104754383899,0,0,0
37,0.1000709236302888,1,1,1
38,-0.2846298908699247,0,0,0
39,-0.27098077706341095,0,0,0
40,-0.27333324628232103,0,0,0
41,-0.16507984487233668,0,0,0
42,-0.10090467051837027,0,0,0
43,-0.24390643863949102,0,0,0
44,-0.2943347465769801,0,0,0
45,-0.26414830958850094,0,0,0
46,-0.17500548328029114,0,0,0
47,-0.2933308796216419,0,0,0
48,-0.27051887261857277,0,0,0
49,-0.2738459408329968,0,0,0
50,-0.11512974634958784,0,0,0
51,-0.05941946912356455,0,0,0
52,-0.2951374612841093,0,0,0
53,-0.2915013603898227,0,0,0
54,-0.26841417988771127,0,0,0
55,-0.27711786807021754,0,0,0
56,-0.1437991276420582,0,0,0
57,-0.2776634479503766,0,0,0
58,-0.2753830254256024,0,0,0
59,-0.24327289298214522,0,0,0
60,-0.2944203777831002,0,0,0
61,-0.2959180932585938,0,0,0
62,-0.2896262637707705,0,0,0
63,0.0069890656490328995,1,1,0
64,-0.2404227838677121,0,0,0
65,-0.2638558711439063,0,0,0
66,-0.10667774565990684,0,0,0
67,-0.27663995457319124,0,0,0
68,0.1000054923433007,1,1,1
69,-0.2929204887525701,0,0,0
70,-0.19661461938827568,0,0,0
