Sequence_Index,Reconstruction_Error,Anomaly_Label
0,0.006867023550210248,Normal
1,0.002326835447964095,Normal
2,0.001337801001663384,Normal
3,0.0026068083088645133,Normal
4,0.0034811058224488885,Normal
5,0.003764287377043185,Normal
6,0.0020058779555795197,Normal
7,0.002049033702318233,Normal
8,0.004101155930647975,Normal
9,0.002494748829574614,Normal
10,0.005098883536886134,Normal
11,0.0035082390623714134,Normal
12,0.004689710554969593,Normal
13,0.005054117472583291,Normal
14,0.005454417330245482,Normal
15,0.005739073604115392,Normal
16,0.003330489134641953,Normal
17,0.00811239853781791,Normal
18,0.0070320987870776215,Normal
19,0.0048145003395699566,Normal
20,0.009628113609785001,Normal
21,0.004190630623365862,Normal
22,0.00852615323092276,Normal
23,0.0033161627637908727,Normal
24,0.004569908668273627,Normal
25,0.004615050614683811,Normal
26,0.005595005608628132,Normal
27,0.0031236363736556094,Normal
28,0.0019908949824130754,Normal
29,0.0024287736527315853,Normal
30,0.003992817975871175,Normal
31,0.001870471930870155,Normal
32,0.0028895779398840507,Normal
33,0.002230245706620328,Normal
34,0.006677859911656682,Normal
35,0.004339959387753412,Normal
36,0.0034551674392503283,Normal
37,0.004789248061588384,Normal
38,0.007194773098738963,Normal
39,0.007389594296904009,Normal
40,0.0034631896962343854,Normal
41,0.0021375932197752294,Normal
42,0.007288143204661962,Normal
43,0.0012908895081324976,Normal
44,0.0028809570928953194,Normal
45,0.0033015696047631166,Normal
46,0.014578286441297897,Anomaly
47,0.020774313647133835,Anomaly
48,0.0027554800638189304,Normal
49,0.01271009641551497,Normal
50,0.009419677113620267,Normal
51,0.005708731867369772,Normal
52,0.006263003571075014,Normal
53,0.01041305621615412,Normal
54,0.0112726020759719,Normal
55,0.013045322425504578,Normal
56,0.011356585436670346,Normal
57,0.0019848657140325017,Normal
58,0.00092509362558566,Normal
59,0.007725866066977857,Normal
60,0.005355530606890003,Normal
61,0.008428405285755437,Normal
62,0.004603981774471595,Normal
63,0.009619998484461559,Normal
64,0.008677187914834199,Normal
65,0.0013567622992311373,Normal
66,0.0038109614955235066,Normal
67,0.007339365138210614,Normal
68,0.006209058801031876,Normal
69,0.0024620552547922636,Normal
70,0.004554426172790062,Normal
71,0.003317419002664786,Normal
72,0.006088502366600937,Normal
73,0.007803607497446426,Normal
74,0.007234178251051565,Normal
75,0.0037952210316941786,Normal
76,0.005077016979125419,Normal
77,0.008930907563466022,Normal
78,0.003663426025610761,Normal
79,0.004911800510795607,Normal
80,0.002788313519307447,Normal
81,0.00690878811942904,Normal
82,0.0067417829897313515,Normal
83,0.003143894479504414,Normal
84,0.004128942077948053,Normal
85,0.0014321438633883676,Normal
86,0.0015298378836334028,Normal
87,0.0008987088090699764,Normal
88,0.0020238700849705255,Normal
89,0.008245150518000477,Normal
90,0.002126816121006423,Normal
91,0.01232256961965621,Normal
92,0.0031927236657983632,Normal
93,0.005464093430815555,Normal
94,0.0028430495836535277,Normal
95,0.008079274086147876,Normal
96,0.007646957098423365,Normal
97,0.004766630367747338,Normal
98,0.013647687509114121,Anomaly
99,0.013908217329353805,Anomaly
100,0.0037645384264111577,Normal
101,0.007942766889331048,Normal
102,0.014438517066652199,Anomaly
103,0.006637883268943057,Normal
104,0.0072996759266455115,Normal
105,0.008921510383016683,Normal
106,0.008080952154780118,Normal
107,0.012445349587592268,Normal
108,0.00827202213910449,Normal
109,0.009870689630503002,Normal
110,0.0067856556596966365,Normal
111,0.009190618885378888,Normal
112,0.0021258531651172636,Normal
113,0.0020283098561912774,Normal
114,0.0024942970456446915,Normal
115,0.0022873191793809054,Normal
116,0.001670817114198836,Normal
117,0.0015812403130653825,Normal
118,0.008613483383410874,Normal
119,0.0029259239311649164,Normal
120,0.0030860803892452703,Normal
121,0.004544312275745093,Normal
122,0.0034047446462967673,Normal
123,0.005840253992902026,Normal
124,0.026531842346149824,Anomaly
125,0.028811930138053325,Anomaly
