vital,anomaly,index,value
cpt_cd,outlier,63,32000.0
cpt_cd,outlier,81,31624.0
cpt_cd,outlier,102,36556.0
cpt_cd,outlier,120,31622.0
cpt_cd,outlier,201,36556.0
cpt_cd,outlier,257,27502.0
cpt_cd,outlier,258,20692.0
cpt_cd,outlier,259,20694.0
cpt_cd,outlier,260,27506.0
cpt_cd,outlier,271,23616.0
cpt_cd,outlier,272,23616.0
cpt_cd,outlier,295,36556.0
cpt_cd,outlier,298,36833.0
cpt_cd,outlier,301,36556.0
cpt_cd,outlier,303,36556.0
cpt_cd,outlier,304,49080.0
cpt_cd,outlier,310,36800.0
cpt_cd,outlier,313,44005.0
cpt_cd,outlier,314,43621.0
cpt_cd,outlier,315,44300.0
cpt_cd,outlier,398,36556.0
cpt_cd,outlier,401,31645.0
cpt_cd,outlier,415,36556.0
cpt_cd,outlier,416,36620.0
cpt_cd,outlier,418,27244.0
cpt_cd,outlier,450,39400.0
cpt_cd,outlier,451,31624.0
cpt_cd,outlier,454,31624.0
cpt_cd,outlier,486,43234.0
cpt_cd,outlier,525,31600.0
cpt_cd,outlier,560,31624.0
cpt_cd,outlier,601,31645.0
cpt_cd,outlier,603,32422.0
cpt_cd,outlier,607,31645.0
cpt_cd,outlier,621,44320.0
cpt_cd,outlier,633,31624.0
cpt_cd,outlier,668,36556.0
cpt_cd,outlier,702,36556.0
cpt_cd,outlier,781,44150.0
cpt_cd,outlier,782,49002.0
cpt_cd,outlier,783,44015.0
cpt_cd,outlier,784,49002.0
cpt_cd,outlier,792,43200.0
cpt_cd,outlier,793,15734.0
cpt_cd,outlier,794,43117.0
cpt_cd,outlier,801,43112.0
cpt_cd,outlier,817,27130.0
cpt_cd,outlier,830,31645.0
cpt_cd,outlier,839,38570.0
cpt_cd,outlier,840,50548.0
cpt_cd,outlier,887,31624.0
cpt_cd,outlier,912,11043.0
cpt_cd,outlier,930,43830.0
cpt_cd,outlier,965,31624.0
cpt_cd,outlier,972,36556.0
cpt_cd,outlier,973,36620.0
cpt_cd,outlier,1038,32659.0
cpt_cd,outlier,1039,36590.0
cpt_cd,outlier,1042,36556.0
cpt_cd,outlier,1053,36556.0
cpt_cd,outlier,1072,36556.0
cpt_cd,outlier,1120,33508.0
cpt_cd,outlier,1121,33518.0
cpt_cd,outlier,1122,33533.0
cpt_cd,outlier,1123,33508.0
cpt_cd,outlier,1124,33533.0
cpt_cd,outlier,1125,33518.0
cpt_cd,outlier,1129,36620.0
cpt_cd,outlier,1130,36556.0
cpt_cd,outlier,1209,31622.0
cpt_cd,outlier,1218,31600.0
cpt_cd,outlier,1229,36556.0
cpt_number,outlier,63,32000.0
cpt_number,outlier,81,31624.0
cpt_number,outlier,102,36556.0
cpt_number,outlier,120,31622.0
cpt_number,outlier,201,36556.0
cpt_number,outlier,257,27502.0
cpt_number,outlier,258,20692.0
cpt_number,outlier,259,20694.0
cpt_number,outlier,260,27506.0
cpt_number,outlier,271,23616.0
cpt_number,outlier,272,23616.0
cpt_number,outlier,295,36556.0
cpt_number,outlier,298,36833.0
cpt_number,outlier,301,36556.0
cpt_number,outlier,303,36556.0
cpt_number,outlier,304,49080.0
cpt_number,outlier,310,36800.0
cpt_number,outlier,313,44005.0
cpt_number,outlier,314,43621.0
cpt_number,outlier,315,44300.0
cpt_number,outlier,398,36556.0
cpt_number,outlier,401,31645.0
cpt_number,outlier,415,36556.0
cpt_number,outlier,416,36620.0
cpt_number,outlier,418,27244.0
cpt_number,outlier,450,39400.0
cpt_number,outlier,451,31624.0
cpt_number,outlier,454,31624.0
cpt_number,outlier,486,43234.0
cpt_number,outlier,525,31600.0
cpt_number,outlier,560,31624.0
cpt_number,outlier,601,31645.0
cpt_number,outlier,603,32422.0
cpt_number,outlier,607,31645.0
cpt_number,outlier,621,44320.0
cpt_number,outlier,633,31624.0
cpt_number,outlier,668,36556.0
cpt_number,outlier,702,36556.0
cpt_number,outlier,781,44150.0
cpt_number,outlier,782,49002.0
cpt_number,outlier,783,44015.0
cpt_number,outlier,784,49002.0
cpt_number,outlier,792,43200.0
cpt_number,outlier,793,15734.0
cpt_number,outlier,794,43117.0
cpt_number,outlier,801,43112.0
cpt_number,outlier,817,27130.0
cpt_number,outlier,830,31645.0
cpt_number,outlier,839,38570.0
cpt_number,outlier,840,50548.0
cpt_number,outlier,887,31624.0
cpt_number,outlier,912,11043.0
cpt_number,outlier,930,43830.0
cpt_number,outlier,965,31624.0
cpt_number,outlier,972,36556.0
cpt_number,outlier,973,36620.0
cpt_number,outlier,1038,32659.0
cpt_number,outlier,1039,36590.0
cpt_number,outlier,1042,36556.0
cpt_number,outlier,1053,36556.0
cpt_number,outlier,1072,36556.0
cpt_number,outlier,1120,33508.0
cpt_number,outlier,1121,33518.0
cpt_number,outlier,1122,33533.0
cpt_number,outlier,1123,33508.0
cpt_number,outlier,1124,33533.0
cpt_number,outlier,1125,33518.0
cpt_number,outlier,1129,36620.0
cpt_number,outlier,1130,36556.0
cpt_number,outlier,1209,31622.0
cpt_number,outlier,1218,31600.0
cpt_number,outlier,1229,36556.0
ticket_id_seq,outlier,861,159.0
ticket_id_seq,outlier,863,160.0
ticket_id_seq,outlier,864,161.0
ticket_id_seq,outlier,865,162.0
ticket_id_seq,outlier,866,163.0
ticket_id_seq,outlier,867,164.0
ticket_id_seq,outlier,868,165.0
ticket_id_seq,outlier,869,166.0
ticket_id_seq,outlier,870,167.0
ticket_id_seq,outlier,871,168.0
ticket_id_seq,outlier,872,169.0
ticket_id_seq,outlier,874,170.0
ticket_id_seq,outlier,875,172.0
ticket_id_seq,outlier,876,173.0
ticket_id_seq,outlier,877,174.0
ticket_id_seq,outlier,878,175.0
ticket_id_seq,outlier,879,176.0
ticket_id_seq,outlier,880,177.0
ticket_id_seq,outlier,881,178.0
ticket_id_seq,outlier,882,179.0
ticket_id_seq,outlier,884,180.0
ticket_id_seq,outlier,1194,181.0
ticket_id_seq,outlier,1195,182.0
ticket_id_seq,outlier,1196,183.0
ticket_id_seq,outlier,1197,184.0
ticket_id_seq,outlier,1198,185.0
ticket_id_seq,outlier,1199,186.0
ticket_id_seq,outlier,1200,187.0
ticket_id_seq,outlier,1201,187.0
ticket_id_seq,outlier,1202,188.0
ticket_id_seq,outlier,1203,189.0
ticket_id_seq,outlier,1204,190.0
ticket_id_seq,outlier,1205,191.0
ticket_id_seq,outlier,1206,192.0
