vital,anomaly,index,value
seq_num,outlier,775,28
seq_num,outlier,776,29
seq_num,outlier,777,30
seq_num,outlier,778,31
seq_num,outlier,779,32
seq_num,outlier,780,33
seq_num,outlier,781,34
seq_num,outlier,782,35
seq_num,outlier,783,36
seq_num,outlier,952,28
seq_num,outlier,953,29
seq_num,outlier,954,30
seq_num,outlier,955,31
seq_num,outlier,1097,28
seq_num,outlier,1098,29
seq_num,outlier,1099,30
seq_num,outlier,1100,31
seq_num,outlier,1101,32
seq_num,outlier,1102,33
seq_num,outlier,1103,34
seq_num,outlier,1104,35
seq_num,outlier,1105,36
seq_num,outlier,1106,37
