vital,anomaly,index,value
SysBP,hypertensive_spike,1,142
SysBP,hypertensive_spike,5,142
SysBP,hypertensive_spike,9,144
SysBP,hypertensive_spike,13,188
SysBP,hypertensive_spike,15,162
SysBP,hypertensive_spike,16,160
SysBP,hypertensive_spike,17,174
SysBP,hypertensive_spike,18,206
SysBP,hypertensive_spike,19,150
SysBP,hypertensive_spike,25,180
SysBP,hypertensive_spike,27,200
SysBP,hypertensive_spike,30,150
SysBP,hypertensive_spike,31,170
SysBP,hypertensive_spike,32,158
SysBP,hypertensive_spike,35,148
SysBP,hypertensive_spike,39,158
SysBP,hypertensive_spike,44,174
SysBP,hypertensive_spike,48,142
SysBP,hypertensive_spike,49,168
SysBP,hypertensive_spike,50,170
SysBP,hypertensive_spike,52,160
SysBP,hypertensive_spike,53,141
SysBP,hypertensive_spike,54,150
SysBP,hypertensive_spike,55,142
SysBP,hypertensive_spike,58,146
SysBP,hypertensive_spike,59,162
SysBP,hypertensive_spike,61,162
SysBP,hypertensive_spike,62,200
SysBP,hypertensive_spike,66,170
SysBP,hypertensive_spike,72,170
SysBP,hypertensive_spike,74,190
SysBP,hypertensive_spike,75,156
SysBP,hypertensive_spike,76,158
SysBP,hypertensive_spike,82,190
SysBP,hypertensive_spike,83,154
SysBP,hypertensive_spike,89,144
SysBP,hypertensive_spike,92,148
SysBP,hypertensive_spike,93,164
SysBP,hypertensive_spike,95,142
SysBP,hypertensive_spike,101,190
SysBP,hypertensive_spike,103,162
SysBP,hypertensive_spike,106,170
SysBP,hypertensive_spike,109,150
SysBP,hypertensive_spike,112,208
SysBP,hypertensive_spike,114,190
SysBP,hypertensive_spike,123,212
SysBP,hypertensive_spike,126,160
SysBP,hypertensive_spike,138,170
SysBP,hypertensive_spike,142,224
SysBP,hypertensive_spike,144,154
SysBP,hypertensive_spike,150,152
SysBP,hypertensive_spike,153,150
SysBP,hypertensive_spike,155,156
SysBP,hypertensive_spike,156,144
SysBP,hypertensive_spike,157,160
SysBP,hypertensive_spike,158,148
SysBP,hypertensive_spike,161,148
SysBP,hypertensive_spike,168,170
SysBP,hypertensive_spike,169,146
SysBP,hypertensive_spike,170,204
SysBP,hypertensive_spike,171,150
SysBP,hypertensive_spike,174,156
SysBP,hypertensive_spike,181,142
SysBP,hypertensive_spike,186,169
SysBP,hypertensive_spike,187,190
SysBP,hypertensive_spike,189,190
SysBP,hypertensive_spike,191,142
SysBP,hypertensive_spike,194,152
