vital,anomaly,index,value
itemid,outlier,34782,44638.0
itemid,outlier,34783,44638.0
itemid,outlier,34784,44638.0
itemid,outlier,34785,44638.0
itemid,outlier,34786,44638.0
itemid,outlier,34787,44638.0
itemid,outlier,34788,44638.0
itemid,outlier,34789,44638.0
itemid,outlier,34790,44638.0
itemid,outlier,34791,44638.0
itemid,outlier,34792,40864.0
itemid,outlier,34793,40864.0
itemid,outlier,34794,40864.0
itemid,outlier,34795,40864.0
itemid,outlier,34796,40864.0
itemid,outlier,34797,40864.0
itemid,outlier,34798,40864.0
amount,outlier,35,3000.0
amount,outlier,1100,3000.0
amount,outlier,1244,2100.0
amount,outlier,1898,4000.0
amount,outlier,1900,4000.0
amount,outlier,1902,2000.0
amount,outlier,1906,3000.0
amount,outlier,1909,6500.0
amount,outlier,3293,2000.0
amount,outlier,5123,2400.0
amount,outlier,5359,3000.0
amount,outlier,8459,1800.0
amount,outlier,8720,2935.0
amount,outlier,8721,2300.0
amount,outlier,8722,3500.0
amount,outlier,8726,4000.0
amount,outlier,8727,3500.0
amount,outlier,8728,3000.0
amount,outlier,8730,1900.0
amount,outlier,8733,1700.0
amount,outlier,8737,2000.0
amount,outlier,8739,3000.0
amount,outlier,8743,5764.0
amount,outlier,8749,3500.0
amount,outlier,9421,1875.0
amount,outlier,9423,6375.0
amount,outlier,17774,2400.0
amount,outlier,17787,2400.0
amount,outlier,17788,2400.0
amount,outlier,17809,2059.9998474121
amount,outlier,17813,1700.0
amount,outlier,17830,3600.0
amount,outlier,17839,5000.0
amount,outlier,17840,3000.0
amount,outlier,17841,2400.0
amount,outlier,17842,2400.0
amount,outlier,17843,2400.0
amount,outlier,17846,2400.0
amount,outlier,17859,2400.0
amount,outlier,17861,2400.0
amount,outlier,17927,2400.0
amount,outlier,17928,2400.0
amount,outlier,17951,1435.9999084473
amount,outlier,18047,2000.0
amount,outlier,18055,2000.0
amount,outlier,18059,1600.0
amount,outlier,18073,2000.0
amount,outlier,18084,2000.0
amount,outlier,18104,2000.0
amount,outlier,18112,2000.0
amount,outlier,18148,1600.0
amount,outlier,18345,1600.0
amount,outlier,18358,1600.0
amount,outlier,18366,1600.0
amount,outlier,18376,1600.0
amount,outlier,18378,2800.0
amount,outlier,18385,1600.0
amount,outlier,18391,1600.0
