vital,anomaly,index,value
row_id,outlier,725,178717
row_id,outlier,726,178718
row_id,outlier,727,194275
row_id,outlier,728,202761
row_id,outlier,729,202762
row_id,outlier,730,202763
row_id,outlier,731,202764
row_id,outlier,732,202765
row_id,outlier,733,202766
row_id,outlier,734,202767
row_id,outlier,735,202768
row_id,outlier,736,202769
row_id,outlier,737,202770
row_id,outlier,738,202771
row_id,outlier,739,202772
row_id,outlier,740,202773
row_id,outlier,741,210885
row_id,outlier,742,210886
row_id,outlier,743,210887
row_id,outlier,744,210888
row_id,outlier,745,218375
row_id,outlier,746,218376
row_id,outlier,747,218377
row_id,outlier,748,226312
row_id,outlier,749,226313
row_id,outlier,750,226314
row_id,outlier,751,226315
row_id,outlier,752,238542
value,outlier,1,12957
value,outlier,2,21485
value,outlier,20,29275
value,outlier,116,20613
value,outlier,173,16140
value,outlier,210,17311
value,outlier,213,14301
value,outlier,215,23247
value,outlier,217,12965
value,outlier,234,28546
value,outlier,251,23621
value,outlier,253,21448
value,outlier,320,18091
value,outlier,364,14956
value,outlier,373,14645
value,outlier,499,20307
value,outlier,501,20442
value,outlier,625,30693
value,outlier,630,28321
cancelreason,outlier,28,1
cancelreason,outlier,29,1
cancelreason,outlier,81,1
cancelreason,outlier,109,1
cancelreason,outlier,130,1
cancelreason,outlier,144,1
cancelreason,outlier,158,1
cancelreason,outlier,175,1
cancelreason,outlier,196,1
cancelreason,outlier,244,2
cancelreason,outlier,257,1
cancelreason,outlier,258,1
cancelreason,outlier,260,1
cancelreason,outlier,262,1
cancelreason,outlier,309,2
cancelreason,outlier,314,2
cancelreason,outlier,319,2
cancelreason,outlier,324,1
cancelreason,outlier,345,1
cancelreason,outlier,358,1
cancelreason,outlier,372,1
cancelreason,outlier,401,1
cancelreason,outlier,485,1
