File,Dataset,Model,AUC,F1,Precision,Recall,False Alarm Rate (FAR),Optimal Threshold,GT Anomaly Count
ADMISSIONS.csv,ADMISSIONS,Autoencoder,,0,0,0,0.100775194,0.001208735,0
CALLOUT.csv,CALLOUT,Autoencoder,,0,0,0,0.103896104,0.056888696,0
CAREGIVERS.csv,CAREGIVERS,Autoencoder,,0,0,0,0.100039646,6.92E-06,0
CPTEVENTS.csv,CPTEVENTS,Autoencoder,,0,0,0,0.100063331,0.001933718,0
dataset_1.csv,dataset_1,Autoencoder,0.581032413,0.237288136,0.7,0.142857143,0.058823529,0.006532218,49
dataset_2.csv,dataset_2,Autoencoder,0.482135688,0.098360656,0.375,0.056603774,0.106382979,0.006429635,53
DATETIMEEVENTS.csv,DATETIMEEVENTS,Autoencoder,,0,0,0,0.100057874,0.000568553,0
DIAGNOSES_ICD.csv,DIAGNOSES_ICD,Autoencoder,,0,0,0,0.100511073,0.000483082,0
DRGCODES.csv,DRGCODES,Autoencoder,,0,0,0,0.101010101,0.008056319,0
D_CPT.csv,D_CPT,Autoencoder,,0,0,0,0.104477612,0.007103965,0
D_ICD_DIAGNOSES.csv,D_ICD_DIAGNOSES,Autoencoder,,0,0,0,0.100020594,6.42E-06,0
D_ICD_PROCEDURES.csv,D_ICD_PROCEDURES,Autoencoder,,0,0,0,0.100206079,1.97E-05,0
D_ITEMS.csv,D_ITEMS,Autoencoder,,0,0,0,0.100024025,5.54E-05,0
D_LABITEMS.csv,D_LABITEMS,Autoencoder,,0,0,0,0.100929615,4.72E-06,0
ICU.csv,ICU,Autoencoder,0.46484375,0.205128205,0.8,0.117647059,0.0625,0.016229846,136
ICUSTAYS.csv,ICUSTAYS,Autoencoder,,0,0,0,0.102941176,0.010418612,0
INPUTEVENTS_CV.csv,INPUTEVENTS_CV,Autoencoder,,0,0,0,0.100002874,0.001971231,0
INPUTEVENTS_MV.csv,INPUTEVENTS_MV,Autoencoder,,0,0,0,0.100045372,0.002811558,0
LABEVENTS.csv,LABEVENTS,Autoencoder,,0,0,0,0.100007887,0.000283665,0
MICROBIOLOGYEVENTS.csv,MICROBIOLOGYEVENTS,Autoencoder,,0,0,0,0.100349476,0.0029172,0
OUTPUTEVENTS.csv,OUTPUTEVENTS,Autoencoder,,0,0,0,0.1,0.004530623,0
PATIENTS.csv,PATIENTS,Autoencoder,,0,0,0,0.1,0.001921828,0
PRESCRIPTIONS.csv,PRESCRIPTIONS,Autoencoder,,0,0,0,0.100019234,0.000430585,0
PROCEDUREEVENTS_MV.csv,PROCEDUREEVENTS_MV,Autoencoder,,0,0,0,0.100929615,0.01152418,0
PROCEDURES_ICD.csv,PROCEDURES_ICD,Autoencoder,,0,0,0,0.100790514,0.002108848,0
SERVICES.csv,SERVICES,Autoencoder,,0,0,0,0.104294479,0.001199083,0
TRANSFERS.csv,TRANSFERS,Autoencoder,,0,0,0,0.101145038,0.003321318,0
