File,Dataset,Model,AUC,F1,Precision,Recall,False Alarm Rate (FAR),Optimal Threshold,GT Anomaly Count
ADMISSIONS.csv,ADMISSIONS,Isolation Forest,0.78125,0,0,0,0.0546875,-0.108088053,1
CALLOUT.csv,CALLOUT,Isolation Forest,0.465686275,0.142857143,0.2,0.111111111,0.058823529,-0.082945181,9
CAREGIVERS.csv,CAREGIVERS,Isolation Forest,,0,0,0,0.049953747,-0.082639768,0
CPTEVENTS.csv,CPTEVENTS,Isolation Forest,0.417909157,0.096256684,0.111111111,0.08490566,0.048879837,-0.083239485,106
dataset_1.csv,dataset_1,Isolation Forest,0.368100649,0.09375,0.375,0.053571429,0.113636364,-0.05770793,56
dataset_2.csv,dataset_2,Isolation Forest,0.40625,0.114285714,0.4,0.066666667,0.15,-0.046698606,60
DATETIMEEVENTS.csv,DATETIMEEVENTS,Isolation Forest,,0,0,0,0.049900328,-0.10752477,0
DIAGNOSES_ICD.csv,DIAGNOSES_ICD,Isolation Forest,0.481412918,0.037037037,0.032258065,0.043478261,0.01726122,-0.121959538,23
DRGCODES.csv,DRGCODES,Isolation Forest,0.769491525,0.25,0.166666667,0.5,0.016949153,-0.119701075,2
D_CPT.csv,D_CPT,Isolation Forest,0.965909091,0.444444444,0.285714286,1,0.037878788,-0.117549558,2
D_ICD_DIAGNOSES.csv,D_ICD_DIAGNOSES,Isolation Forest,,0,0,0,0.050044621,-0.073296159,0
D_ICD_PROCEDURES.csv,D_ICD_PROCEDURES,Isolation Forest,,0,0,0,0.050231839,-0.086036969,0
D_ITEMS.csv,D_ITEMS,Isolation Forest,,0,0,0,0.049891888,-0.100773397,0
D_LABITEMS.csv,D_LABITEMS,Isolation Forest,,0,0,0,0.050464807,-0.062625905,0
ICU.csv,ICU,Isolation Forest,0.493566176,0.179487179,0.7,0.102941176,0.09375,-0.063728127,136
ICUSTAYS.csv,ICUSTAYS,Isolation Forest,0.566287879,0.25,0.25,0.25,0.022727273,-0.097946799,4
INPUTEVENTS_CV.csv,INPUTEVENTS_CV,Isolation Forest,0.56997648,0.090373281,0.061703555,0.168807339,0.083004539,-0.019798135,1090
INPUTEVENTS_MV.csv,INPUTEVENTS_MV,Isolation Forest,0.640059133,0.234199302,0.228269085,0.24044586,0.085310829,-0.024969019,1256
LABEVENTS.csv,LABEVENTS,Isolation Forest,0.49460898,0.00584944,0.003023134,0.08984375,0.100042206,-0.035873298,256
MICROBIOLOGYEVENTS.csv,MICROBIOLOGYEVENTS,Isolation Forest,0.506431167,0.034883721,0.026315789,0.051724138,0.057069409,-0.048752254,58
OUTPUTEVENTS.csv,OUTPUTEVENTS,Isolation Forest,0.525107232,0.046224961,0.026525199,0.179640719,0.098717834,-0.047540523,167
PATIENTS.csv,PATIENTS,Isolation Forest,,0,0,0,0.05,-0.10844884,0
PRESCRIPTIONS.csv,PRESCRIPTIONS,Isolation Forest,0.528618373,0.049253731,0.031730769,0.11,0.099722717,-0.044343756,300
PROCEDUREEVENTS_MV.csv,PROCEDUREEVENTS_MV,Isolation Forest,0.594603639,0.150684932,0.144736842,0.157142857,0.095168375,-0.044536345,70
PROCEDURES_ICD.csv,PROCEDURES_ICD,Isolation Forest,0.408674268,0.035714286,0.021276596,0.111111111,0.092555332,-0.05342913,9
SERVICES.csv,SERVICES,Isolation Forest,,0,0,0,0.055214724,-0.091635743,0
TRANSFERS.csv,TRANSFERS,Isolation Forest,0.310895361,0,0,0,0.052427184,-0.064885196,9
