row_id,cgid,label
2226.931,16172.102,1391.1654
2227.9055,16173.105,1391.1682
2228.8796,16174.108,1391.1713
2229.8545,16175.112,1391.1743
2230.829,16176.115,1391.1771
2231.8035,16177.118,1391.1798
2232.7783,16178.122,1391.1829
2233.7524,16179.125,1391.186
2234.727,16180.128,1391.1887
2235.7012,16181.131,1391.1918
2236.6763,16182.135,1391.1942
2237.6504,16183.138,1391.1974
2238.625,16184.142,1391.2007
2239.5996,16185.145,1391.2036
2240.5742,16186.148,1391.2059
2241.5483,16187.151,1391.2094
2242.523,16188.154,1391.2123
2243.4976,16189.158,1391.2153
2244.4722,16190.161,1391.2181
2245.4463,16191.164,1391.2212
2246.421,16192.167,1391.2239
2247.3953,16193.171,1391.227
2248.3699,16194.174,1391.2299
2249.3445,16195.178,1391.2327
2250.3188,16196.181,1391.2357
2251.2935,16197.184,1391.2384
2252.268,16198.1875,1391.2416
2253.2424,16199.19,1391.2444
2254.2168,16200.193,1391.2473
2255.1914,16201.197,1391.2501
2256.1655,16202.2,1391.2533
2257.1406,16203.204,1391.2563
2258.1147,16204.207,1391.2589
2259.0894,16205.21,1391.2622
2260.064,16206.214,1391.2646
2261.0386,16207.217,1391.2678
2262.0127,16208.22,1391.2708
2262.9875,16209.224,1391.2737
2263.962,16210.227,1391.2766
2264.936,16211.2295,1391.2798
2265.9111,16212.233,1391.2823
2266.8855,16213.236,1391.2853
2267.8599,16214.239,1391.2878
2268.8345,16215.243,1391.2914
2269.809,16216.247,1391.2943
2270.7832,16217.249,1391.2971
2271.7578,16218.253,1391.3002
2272.7324,16219.256,1391.3025
2273.707,16220.26,1391.3062
2274.6812,16221.263,1391.3088
2275.656,16222.266,1391.3118
2276.63,16223.269,1391.3147
2277.605,16224.272,1391.3174
2278.579,16225.276,1391.3202
2279.5537,16226.279,1391.3234
2280.528,16227.282,1391.3265
2281.503,16228.285,1391.3292
2282.4773,16229.289,1391.3323
2283.4517,16230.292,1391.3356
2284.4263,16231.295,1391.3381
2285.401,16232.299,1391.3408
2286.375,16233.302,1391.3438
2287.3496,16234.305,1391.3468
2288.3242,16235.309,1391.3501
2289.2986,16236.312,1391.3528
2290.2732,16237.315,1391.3552
2291.248,16238.318,1391.3582
2292.2222,16239.322,1391.3616
2293.1968,16240.325,1391.3644
2294.1711,16241.328,1391.3673
2295.146,16242.331,1391.3704
2296.1204,16243.335,1391.3733
2297.0947,16244.338,1391.3761
2298.0693,16245.342,1391.3788
2299.0437,16246.345,1391.3821
2300.018,16247.348,1391.3846
