file,num_rows,num_columns,num_anomalies,rf_results
ADMISSIONS.csv,129,5,1,
CALLOUT.csv,77,12,9,
CAREGIVERS.csv,7567,3,0,
CPTEVENTS.csv,1579,6,178,
DATETIMEEVENTS.csv,15551,8,0,
DIAGNOSES_ICD.csv,1761,5,23,
DRGCODES.csv,297,6,2,
D_CPT.csv,134,5,2,
D_ICD_DIAGNOSES.csv,14567,2,0,
D_ICD_PROCEDURES.csv,3882,2,0,
D_ITEMS.csv,12487,2,0,
D_LABITEMS.csv,753,2,0,
ICU.csv,200,10,173,
ICUSTAYS.csv,136,7,4,
INPUTEVENTS_CV.csv,34799,13,1102,
INPUTEVENTS_MV.csv,13224,17,1478,
LABEVENTS.csv,76074,6,512,
MICROBIOLOGYEVENTS.csv,2003,9,59,
OUTPUTEVENTS.csv,11320,7,167,
PATIENTS.csv,100,3,0,
PRESCRIPTIONS.csv,10398,8,301,
PROCEDUREEVENTS_MV.csv,753,12,70,
PROCEDURES_ICD.csv,506,5,9,
SERVICES.csv,163,3,0,
TRANSFERS.csv,524,7,9,
